epoch,final_epoch,final_loss
1,1,5.5412600338459015
2,2,5.541245520114899
3,3,5.540255784988403
4,4,5.505300939083099
5,5,5.435497730970383
6,6,5.426568865776062
7,7,5.422988086938858
8,8,5.211696147918701
9,9,5.017250716686249
10,10,4.9925501346588135
11,11,4.970071345567703
12,12,4.939304441213608
13,13,4.892122656106949
14,14,4.844118893146515
15,15,4.821092754602432
16,16,4.807080686092377
17,17,4.797880053520203
18,18,4.79745477437973
19,19,4.795293569564819
20,20,4.793969690799713
21,21,4.7929724752902985
22,22,4.790345549583435
23,22,4.790345549583435
24,24,4.786805182695389
25,25,4.786257177591324
26,26,4.784243166446686
27,26,4.784243166446686
28,28,4.783947944641113
29,28,4.783947944641113
30,30,4.780869513750076
31,31,4.779884368181229
32,32,4.778201848268509
33,32,4.778201848268509
34,34,4.776259899139404
35,35,4.773536115884781
36,36,4.769742786884308
37,37,4.767139405012131
38,38,4.761561244726181
39,39,4.751186430454254
40,40,4.7415690422058105
41,41,4.731324225664139
42,42,4.724186480045319
43,43,4.717699855566025
44,44,4.715735733509064
45,44,4.715735733509064
46,46,4.713327884674072
47,46,4.713327884674072
48,48,4.71310356259346
49,48,4.71310356259346
50,50,4.710795700550079
51,50,4.710795700550079
52,50,4.710795700550079
53,50,4.710795700550079
54,50,4.710795700550079
55,55,4.7105012238025665
56,55,4.7105012238025665
57,57,4.709696590900421
58,57,4.709696590900421
59,57,4.709696590900421
60,57,4.709696590900421
61,57,4.709696590900421
62,57,4.709696590900421
63,63,4.709561794996262
64,64,4.7092578411102295
65,65,4.709088563919067
66,65,4.709088563919067
67,65,4.709088563919067
68,68,4.70849147439003
69,68,4.70849147439003
70,68,4.70849147439003
71,68,4.70849147439003
72,68,4.70849147439003
73,68,4.70849147439003
74,68,4.70849147439003
75,75,4.708480000495911
76,75,4.708480000495911
77,75,4.708480000495911
78,75,4.708480000495911
79,75,4.708480000495911
80,75,4.708480000495911
81,75,4.708480000495911
82,75,4.708480000495911
83,75,4.708480000495911
84,75,4.708480000495911
