epoch,train,valid,test,best_train,best_valid,best_test
1,0.5253456221198156,0.5849056603773585,0.6201550387596899,"(0.5253456221198156, 1)","(0.5849056603773585, 1)","(0.6201550387596899, 1)"
2,0.5898617511520737,0.5849056603773585,0.6201550387596899,"(0.5898617511520737, 2)","(0.5849056603773585, 1)","(0.6201550387596899, 1)"
3,0.5898617511520737,0.5849056603773585,0.6201550387596899,"(0.5898617511520737, 2)","(0.5849056603773585, 1)","(0.6201550387596899, 1)"
4,0.5898617511520737,0.5849056603773585,0.6201550387596899,"(0.5898617511520737, 2)","(0.5849056603773585, 1)","(0.6201550387596899, 1)"
5,0.5898617511520737,0.5849056603773585,0.6201550387596899,"(0.5898617511520737, 2)","(0.5849056603773585, 1)","(0.6201550387596899, 1)"
6,0.5898617511520737,0.5849056603773585,0.6201550387596899,"(0.5898617511520737, 2)","(0.5849056603773585, 1)","(0.6201550387596899, 1)"
7,0.5898617511520737,0.5849056603773585,0.6201550387596899,"(0.5898617511520737, 2)","(0.5849056603773585, 1)","(0.6201550387596899, 1)"
8,0.5898617511520737,0.5849056603773585,0.6201550387596899,"(0.5898617511520737, 2)","(0.5849056603773585, 1)","(0.6201550387596899, 1)"
9,0.5898617511520737,0.5849056603773585,0.6201550387596899,"(0.5898617511520737, 2)","(0.5849056603773585, 1)","(0.6201550387596899, 1)"
10,0.5898617511520737,0.5849056603773585,0.6201550387596899,"(0.5898617511520737, 2)","(0.5849056603773585, 1)","(0.6201550387596899, 1)"
11,0.5898617511520737,0.5849056603773585,0.6201550387596899,"(0.5898617511520737, 2)","(0.5849056603773585, 1)","(0.6201550387596899, 1)"
12,0.5898617511520737,0.5849056603773585,0.6201550387596899,"(0.5898617511520737, 2)","(0.5849056603773585, 1)","(0.6201550387596899, 1)"
13,0.5898617511520737,0.5849056603773585,0.6201550387596899,"(0.5898617511520737, 2)","(0.5849056603773585, 1)","(0.6201550387596899, 1)"
14,0.5898617511520737,0.5849056603773585,0.6201550387596899,"(0.5898617511520737, 2)","(0.5849056603773585, 1)","(0.6201550387596899, 1)"
15,0.5898617511520737,0.5849056603773585,0.6201550387596899,"(0.5898617511520737, 2)","(0.5849056603773585, 1)","(0.6201550387596899, 1)"
16,0.5898617511520737,0.5849056603773585,0.6201550387596899,"(0.5898617511520737, 2)","(0.5849056603773585, 1)","(0.6201550387596899, 1)"
17,0.5898617511520737,0.5849056603773585,0.6201550387596899,"(0.5898617511520737, 2)","(0.5849056603773585, 1)","(0.6201550387596899, 1)"
18,0.5898617511520737,0.5849056603773585,0.6201550387596899,"(0.5898617511520737, 2)","(0.5849056603773585, 1)","(0.6201550387596899, 1)"
19,0.5898617511520737,0.5849056603773585,0.6201550387596899,"(0.5898617511520737, 2)","(0.5849056603773585, 1)","(0.6201550387596899, 1)"
