epoch,train,valid,test,best_train,best_valid,best_test
1,0.4724806882022472,0.7536656891495601,0.5975765306122449,"(np.float64(0.4724806882022472), 1)","(np.float64(0.7536656891495601), 1)","(np.float64(0.5975765306122449), 1)"
2,0.49490870786516855,0.7624633431085044,0.5857142857142857,"(np.float64(0.49490870786516855), 2)","(np.float64(0.7624633431085044), 2)","(np.float64(0.5975765306122449), 1)"
3,0.5297138342696629,0.7873900293255132,0.5757653061224489,"(np.float64(0.5297138342696629), 3)","(np.float64(0.7873900293255132), 3)","(np.float64(0.5975765306122449), 1)"
4,0.441625702247191,0.7756598240469208,0.551530612244898,"(np.float64(0.5297138342696629), 3)","(np.float64(0.7873900293255132), 3)","(np.float64(0.5975765306122449), 1)"
5,0.464624297752809,0.750733137829912,0.559438775510204,"(np.float64(0.5297138342696629), 3)","(np.float64(0.7873900293255132), 3)","(np.float64(0.5975765306122449), 1)"
6,0.5310744382022472,0.7888563049853372,0.5522959183673469,"(np.float64(0.5310744382022472), 6)","(np.float64(0.7888563049853372), 6)","(np.float64(0.5975765306122449), 1)"
7,0.4694522471910113,0.7639296187683284,0.5625,"(np.float64(0.5310744382022472), 6)","(np.float64(0.7888563049853372), 6)","(np.float64(0.5975765306122449), 1)"
8,0.5215941011235955,0.7595307917888564,0.5622448979591836,"(np.float64(0.5310744382022472), 6)","(np.float64(0.7888563049853372), 6)","(np.float64(0.5975765306122449), 1)"
9,0.5251931179775281,0.7741935483870968,0.5364795918367347,"(np.float64(0.5310744382022472), 6)","(np.float64(0.7888563049853372), 6)","(np.float64(0.5975765306122449), 1)"
10,0.5234813904494382,0.7771260997067448,0.5306122448979591,"(np.float64(0.5310744382022472), 6)","(np.float64(0.7888563049853372), 6)","(np.float64(0.5975765306122449), 1)"
11,0.4763869382022472,0.7390029325513197,0.5290816326530612,"(np.float64(0.5310744382022472), 6)","(np.float64(0.7888563049853372), 6)","(np.float64(0.5975765306122449), 1)"
12,0.5644311797752809,0.7551319648093842,0.5321428571428571,"(np.float64(0.5644311797752809), 12)","(np.float64(0.7888563049853372), 6)","(np.float64(0.5975765306122449), 1)"
13,0.5198384831460674,0.7668621700879765,0.5428571428571429,"(np.float64(0.5644311797752809), 12)","(np.float64(0.7888563049853372), 6)","(np.float64(0.5975765306122449), 1)"
14,0.557057584269663,0.7375366568914956,0.5283163265306122,"(np.float64(0.5644311797752809), 12)","(np.float64(0.7888563049853372), 6)","(np.float64(0.5975765306122449), 1)"
15,0.5577598314606742,0.7375366568914955,0.5252551020408164,"(np.float64(0.5644311797752809), 12)","(np.float64(0.7888563049853372), 6)","(np.float64(0.5975765306122449), 1)"
