epoch,train,valid,test,best_train,best_valid,best_test
1,0.6773216062427116,0.6790034174919128,0.6655617356300354,"(0.6773216062427116, 1)","(0.6790034174919128, 1)","(0.6655617356300354, 1)"
2,0.6769327958058652,0.6789884567260742,0.6662476658821106,"(0.6769327958058652, 2)","(0.6789884567260742, 2)","(0.6655617356300354, 1)"
3,0.676755683213335,0.6789065599441528,0.666027307510376,"(0.676755683213335, 3)","(0.6789065599441528, 3)","(0.6655617356300354, 1)"
4,0.6773817951228761,0.6789265275001526,0.6660513877868652,"(0.676755683213335, 3)","(0.6789065599441528, 3)","(0.6655617356300354, 1)"
5,0.6771782246602845,0.6790687441825867,0.6655348539352417,"(0.676755683213335, 3)","(0.6789065599441528, 3)","(0.6655348539352417, 5)"
6,0.6766788476073797,0.6791808605194092,0.6647653579711914,"(0.6766788476073797, 6)","(0.6789065599441528, 3)","(0.6647653579711914, 6)"
7,0.6777246759234485,0.6795872449874878,0.6642739176750183,"(0.6766788476073797, 6)","(0.6789065599441528, 3)","(0.6642739176750183, 7)"
8,0.6767485095059267,0.679125964641571,0.6651029586791992,"(0.6766788476073797, 6)","(0.6789065599441528, 3)","(0.6642739176750183, 7)"
9,0.6767307080431468,0.6790007948875427,0.6656210422515869,"(0.6766788476073797, 6)","(0.6789065599441528, 3)","(0.6642739176750183, 7)"
10,0.6767434678319413,0.6789391040802002,0.6663329005241394,"(0.6766788476073797, 6)","(0.6789065599441528, 3)","(0.6642739176750183, 7)"
11,0.6775013884091707,0.6795292496681213,0.6645904779434204,"(0.6766788476073797, 6)","(0.6789065599441528, 3)","(0.6642739176750183, 7)"
12,0.6765863914643565,0.6793472766876221,0.664634108543396,"(0.6765863914643565, 12)","(0.6789065599441528, 3)","(0.6642739176750183, 7)"
13,0.6770693662529168,0.6799877882003784,0.6639603972434998,"(0.6765863914643565, 12)","(0.6789065599441528, 3)","(0.6639603972434998, 13)"
14,0.6765012474653358,0.6792945265769958,0.6648607850074768,"(0.6765012474653358, 14)","(0.6789065599441528, 3)","(0.6639603972434998, 13)"
15,0.6766006501588954,0.679460346698761,0.6644636392593384,"(0.6765012474653358, 14)","(0.6789065599441528, 3)","(0.6639603972434998, 13)"
