epoch,train,valid,test,best_train,best_valid,best_test
1,0.6947423659162038,0.6917232871055603,0.6910588145256042,"(0.6947423659162038, 1)","(0.6917232871055603, 1)","(0.6910588145256042, 1)"
2,0.6904769938112953,0.6888136863708496,0.6866937875747681,"(0.6904769938112953, 2)","(0.6888136863708496, 2)","(0.6866937875747681, 2)"
3,0.6870660938425548,0.6845850944519043,0.6795752048492432,"(0.6870660938425548, 3)","(0.6845850944519043, 3)","(0.6795752048492432, 3)"
4,0.6831600069999695,0.6802147030830383,0.6733564138412476,"(0.6831600069999695, 4)","(0.6802147030830383, 4)","(0.6733564138412476, 4)"
5,0.6782327022420646,0.6772758960723877,0.6695331931114197,"(0.6782327022420646, 5)","(0.6772758960723877, 5)","(0.6695331931114197, 5)"
6,0.6749792892812034,0.677806556224823,0.6700307130813599,"(0.6749792892812034, 6)","(0.6772758960723877, 5)","(0.6695331931114197, 5)"
7,0.6774017750392861,0.6761650443077087,0.6691863536834717,"(0.6749792892812034, 6)","(0.6761650443077087, 7)","(0.6691863536834717, 7)"
8,0.6710427620443881,0.6758399605751038,0.6690953969955444,"(0.6710427620443881, 8)","(0.6758399605751038, 8)","(0.6690953969955444, 8)"
9,0.670238763505962,0.6746090650558472,0.6695693135261536,"(0.670238763505962, 9)","(0.6746090650558472, 9)","(0.6690953969955444, 8)"
10,0.6683735528849237,0.6743908524513245,0.6699464917182922,"(0.6683735528849237, 10)","(0.6743908524513245, 10)","(0.6690953969955444, 8)"
11,0.6724071681224806,0.6777079701423645,0.6762366890907288,"(0.6683735528849237, 10)","(0.6743908524513245, 10)","(0.6690953969955444, 8)"
12,0.6648890323902604,0.6726268529891968,0.6746237277984619,"(0.6648890323902604, 12)","(0.6726268529891968, 12)","(0.6690953969955444, 8)"
13,0.6644116024817189,0.6749789118766785,0.680212140083313,"(0.6644116024817189, 13)","(0.6726268529891968, 12)","(0.6690953969955444, 8)"
14,0.6596026616986446,0.6692261695861816,0.6772286295890808,"(0.6596026616986446, 14)","(0.6692261695861816, 14)","(0.6690953969955444, 8)"
15,0.657186019530494,0.6706856489181519,0.6911677122116089,"(0.657186019530494, 15)","(0.6692261695861816, 14)","(0.6690953969955444, 8)"
16,0.6565622592576638,0.665834367275238,0.6838169693946838,"(0.6565622592576638, 16)","(0.665834367275238, 16)","(0.6690953969955444, 8)"
17,0.6589059667653202,0.6645200252532959,0.6844053268432617,"(0.6565622592576638, 16)","(0.6645200252532959, 17)","(0.6690953969955444, 8)"
18,0.6463014936666884,0.6636130213737488,0.6894404888153076,"(0.6463014936666884, 18)","(0.6636130213737488, 18)","(0.6690953969955444, 8)"
19,0.6409930155573902,0.6628283858299255,0.6932802796363831,"(0.6409930155573902, 19)","(0.6628283858299255, 19)","(0.6690953969955444, 8)"
20,0.642573756693695,0.6571507453918457,0.6937469244003296,"(0.6409930155573902, 19)","(0.6571507453918457, 20)","(0.6690953969955444, 8)"
21,0.6359929851672617,0.6519092917442322,0.693131685256958,"(0.6359929851672617, 21)","(0.6519092917442322, 21)","(0.6690953969955444, 8)"
22,0.6242976976979163,0.6455999612808228,0.6878311634063721,"(0.6242976976979163, 22)","(0.6455999612808228, 22)","(0.6690953969955444, 8)"
23,0.610236767250272,0.6295152902603149,0.7086284756660461,"(0.610236767250272, 23)","(0.6295152902603149, 23)","(0.6690953969955444, 8)"
24,0.6008502483917272,0.6333832740783691,0.717182993888855,"(0.6008502483917272, 24)","(0.6295152902603149, 23)","(0.6690953969955444, 8)"
25,0.5841273206719605,0.6031923890113831,0.6733602285385132,"(0.5841273206719605, 25)","(0.6031923890113831, 25)","(0.6690953969955444, 8)"
26,0.550211970157887,0.5653258562088013,0.6621008515357971,"(0.550211970157887, 26)","(0.5653258562088013, 26)","(0.6621008515357971, 26)"
27,0.5120601762549668,0.5475826859474182,0.672311007976532,"(0.5120601762549668, 27)","(0.5475826859474182, 27)","(0.6621008515357971, 26)"
28,0.46021339084420887,0.5156186819076538,0.6541332602500916,"(0.46021339084420887, 28)","(0.5156186819076538, 28)","(0.6541332602500916, 28)"
29,0.4327083361862991,0.6323968172073364,0.6917155385017395,"(0.4327083361862991, 29)","(0.5156186819076538, 28)","(0.6541332602500916, 28)"
30,0.3947119957291036,0.5258500576019287,0.6967645287513733,"(0.3947119957291036, 30)","(0.5156186819076538, 28)","(0.6541332602500916, 28)"
31,0.3941700933715715,0.5344977974891663,0.6861830949783325,"(0.3941700933715715, 31)","(0.5156186819076538, 28)","(0.6541332602500916, 28)"
32,0.3440946731973903,0.5709841847419739,0.674834132194519,"(0.3440946731973903, 32)","(0.5156186819076538, 28)","(0.6541332602500916, 28)"
33,0.3398225038507653,0.7162030935287476,0.769182026386261,"(0.3398225038507653, 33)","(0.5156186819076538, 28)","(0.6541332602500916, 28)"
34,0.34561315849734564,0.744708240032196,0.7782978415489197,"(0.3398225038507653, 33)","(0.5156186819076538, 28)","(0.6541332602500916, 28)"
35,0.3677152614989039,0.6243500709533691,0.7579110860824585,"(0.3398225038507653, 33)","(0.5156186819076538, 28)","(0.6541332602500916, 28)"
