epoch,train,valid,test,best_train,best_valid,best_test
1,0.9262672811059908,0.7924528301886793,0.751937984496124,"(0.9262672811059908, 1)","(0.7924528301886793, 1)","(0.751937984496124, 1)"
2,0.9308755760368663,0.7547169811320755,0.7131782945736435,"(0.9308755760368663, 2)","(0.7924528301886793, 1)","(0.751937984496124, 1)"
3,0.9493087557603687,0.8113207547169812,0.7364341085271318,"(0.9493087557603687, 3)","(0.8113207547169812, 3)","(0.751937984496124, 1)"
4,0.9308755760368663,0.7924528301886793,0.7286821705426356,"(0.9493087557603687, 3)","(0.8113207547169812, 3)","(0.751937984496124, 1)"
5,0.9262672811059908,0.8113207547169812,0.7674418604651163,"(0.9493087557603687, 3)","(0.8113207547169812, 3)","(0.7674418604651163, 5)"
6,0.9539170506912442,0.7924528301886793,0.751937984496124,"(0.9539170506912442, 6)","(0.8113207547169812, 3)","(0.7674418604651163, 5)"
7,0.9539170506912442,0.8113207547169812,0.7984496124031008,"(0.9539170506912442, 6)","(0.8113207547169812, 3)","(0.7984496124031008, 7)"
8,0.9493087557603687,0.8867924528301887,0.751937984496124,"(0.9539170506912442, 6)","(0.8867924528301887, 8)","(0.7984496124031008, 7)"
9,0.9354838709677419,0.8113207547169812,0.7286821705426356,"(0.9539170506912442, 6)","(0.8867924528301887, 8)","(0.7984496124031008, 7)"
10,0.9262672811059908,0.7735849056603774,0.7286821705426356,"(0.9539170506912442, 6)","(0.8867924528301887, 8)","(0.7984496124031008, 7)"
11,0.9354838709677419,0.8301886792452831,0.7209302325581395,"(0.9539170506912442, 6)","(0.8867924528301887, 8)","(0.7984496124031008, 7)"
12,0.9539170506912442,0.8113207547169812,0.7829457364341085,"(0.9539170506912442, 6)","(0.8867924528301887, 8)","(0.7984496124031008, 7)"
13,0.9447004608294931,0.8113207547169812,0.7131782945736435,"(0.9539170506912442, 6)","(0.8867924528301887, 8)","(0.7984496124031008, 7)"
14,0.9723502304147466,0.8301886792452831,0.7441860465116279,"(0.9723502304147466, 14)","(0.8867924528301887, 8)","(0.7984496124031008, 7)"
15,0.9493087557603687,0.8867924528301887,0.7596899224806202,"(0.9723502304147466, 14)","(0.8867924528301887, 8)","(0.7984496124031008, 7)"
16,0.9447004608294931,0.7735849056603774,0.7054263565891473,"(0.9723502304147466, 14)","(0.8867924528301887, 8)","(0.7984496124031008, 7)"
17,0.9631336405529954,0.8679245283018868,0.7441860465116279,"(0.9723502304147466, 14)","(0.8867924528301887, 8)","(0.7984496124031008, 7)"
