epoch,train,valid,test,best_train,best_valid,best_test
1,0.9753335674157302,0.8797653958944281,0.7318877551020407,"(np.float64(0.9753335674157302), 1)","(np.float64(0.8797653958944281), 1)","(np.float64(0.7318877551020407), 1)"
2,0.9677844101123596,0.8621700879765395,0.7216836734693877,"(np.float64(0.9753335674157302), 1)","(np.float64(0.8797653958944281), 1)","(np.float64(0.7318877551020407), 1)"
3,0.9770891853932585,0.8768328445747801,0.7211734693877552,"(np.float64(0.9770891853932585), 3)","(np.float64(0.8797653958944281), 1)","(np.float64(0.7318877551020407), 1)"
4,0.9851650280898876,0.8753665689149561,0.7345663265306123,"(np.float64(0.9851650280898876), 4)","(np.float64(0.8797653958944281), 1)","(np.float64(0.7345663265306123), 4)"
5,0.9627808988764045,0.8929618768328444,0.7538265306122449,"(np.float64(0.9851650280898876), 4)","(np.float64(0.8929618768328444), 5)","(np.float64(0.7538265306122449), 5)"
6,0.984375,0.8592375366568914,0.7124999999999999,"(np.float64(0.9851650280898876), 4)","(np.float64(0.8929618768328444), 5)","(np.float64(0.7538265306122449), 5)"
7,0.9863939606741573,0.878299120234604,0.7760204081632653,"(np.float64(0.9863939606741573), 7)","(np.float64(0.8929618768328444), 5)","(np.float64(0.7760204081632653), 7)"
8,0.9831460674157304,0.9134897360703811,0.7630102040816327,"(np.float64(0.9863939606741573), 7)","(np.float64(0.9134897360703811), 8)","(np.float64(0.7760204081632653), 7)"
9,0.9762991573033708,0.8914956011730205,0.7456632653061225,"(np.float64(0.9863939606741573), 7)","(np.float64(0.9134897360703811), 8)","(np.float64(0.7760204081632653), 7)"
10,0.9735779494382022,0.8739002932551319,0.7530612244897958,"(np.float64(0.9863939606741573), 7)","(np.float64(0.9134897360703811), 8)","(np.float64(0.7760204081632653), 7)"
11,0.9682233146067415,0.8665689149560117,0.7632653061224489,"(np.float64(0.9863939606741573), 7)","(np.float64(0.9134897360703811), 8)","(np.float64(0.7760204081632653), 7)"
12,0.981566011235955,0.8797653958944281,0.7757653061224491,"(np.float64(0.9863939606741573), 7)","(np.float64(0.9134897360703811), 8)","(np.float64(0.7760204081632653), 7)"
13,0.9910463483146068,0.8724340175953079,0.7431122448979591,"(np.float64(0.9910463483146068), 13)","(np.float64(0.9134897360703811), 8)","(np.float64(0.7760204081632653), 7)"
14,0.9934164325842696,0.8856304985337243,0.7119897959183674,"(np.float64(0.9934164325842696), 14)","(np.float64(0.9134897360703811), 8)","(np.float64(0.7760204081632653), 7)"
15,0.9829705056179775,0.8900293255131965,0.7579081632653061,"(np.float64(0.9934164325842696), 14)","(np.float64(0.9134897360703811), 8)","(np.float64(0.7760204081632653), 7)"
16,0.9842872191011236,0.8782991202346041,0.7433673469387755,"(np.float64(0.9934164325842696), 14)","(np.float64(0.9134897360703811), 8)","(np.float64(0.7760204081632653), 7)"
17,0.9920119382022472,0.8958944281524927,0.7622448979591837,"(np.float64(0.9934164325842696), 14)","(np.float64(0.9134897360703811), 8)","(np.float64(0.7760204081632653), 7)"
