epoch,train,valid,test,best_train,best_valid,best_test
1,0.8601650280898876,0.782991202346041,0.6426020408163265,"(np.float64(0.8601650280898876), 1)","(np.float64(0.782991202346041), 1)","(np.float64(0.6426020408163265), 1)"
2,0.8559515449438202,0.810850439882698,0.6556122448979592,"(np.float64(0.8601650280898876), 1)","(np.float64(0.810850439882698), 2)","(np.float64(0.6556122448979592), 2)"
3,0.8761411516853933,0.7727272727272727,0.6665816326530614,"(np.float64(0.8761411516853933), 3)","(np.float64(0.810850439882698), 2)","(np.float64(0.6665816326530614), 3)"
4,0.8667485955056179,0.7697947214076246,0.6479591836734695,"(np.float64(0.8761411516853933), 3)","(np.float64(0.810850439882698), 2)","(np.float64(0.6665816326530614), 3)"
5,0.8647296348314607,0.778592375366569,0.6443877551020407,"(np.float64(0.8761411516853933), 3)","(np.float64(0.810850439882698), 2)","(np.float64(0.6665816326530614), 3)"
6,0.8462956460674157,0.7551319648093842,0.6622448979591836,"(np.float64(0.8761411516853933), 3)","(np.float64(0.810850439882698), 2)","(np.float64(0.6665816326530614), 3)"
7,0.8585849719101124,0.7580645161290323,0.6584183673469388,"(np.float64(0.8761411516853933), 3)","(np.float64(0.810850439882698), 2)","(np.float64(0.6665816326530614), 3)"
8,0.8665730337078652,0.7580645161290323,0.6670918367346939,"(np.float64(0.8761411516853933), 3)","(np.float64(0.810850439882698), 2)","(np.float64(0.6670918367346939), 8)"
9,0.8459445224719101,0.8049853372434018,0.6568877551020408,"(np.float64(0.8761411516853933), 3)","(np.float64(0.810850439882698), 2)","(np.float64(0.6670918367346939), 8)"
10,0.8671875,0.7976539589442816,0.663265306122449,"(np.float64(0.8761411516853933), 3)","(np.float64(0.810850439882698), 2)","(np.float64(0.6670918367346939), 8)"
