epoch,train,valid,test,best_train,best_valid,best_test
1,0.4239501914069537,0.5176112055778503,0.5891008973121643,"(0.4239501914069537, 1)","(0.5176112055778503, 1)","(0.5891008973121643, 1)"
2,0.4257285419147685,0.4942987859249115,0.581831157207489,"(0.4239501914069537, 1)","(0.4942987859249115, 2)","(0.581831157207489, 2)"
3,0.4247864822509445,0.511657178401947,0.5838168263435364,"(0.4239501914069537, 1)","(0.4942987859249115, 2)","(0.581831157207489, 2)"
4,0.414627844424841,0.5160962343215942,0.5886510610580444,"(0.414627844424841, 4)","(0.4942987859249115, 2)","(0.581831157207489, 2)"
5,0.41392529944670364,0.5256629586219788,0.5914304852485657,"(0.41392529944670364, 5)","(0.4942987859249115, 2)","(0.581831157207489, 2)"
6,0.41563596483749177,0.527844250202179,0.5918383002281189,"(0.41392529944670364, 5)","(0.4942987859249115, 2)","(0.581831157207489, 2)"
7,0.40749928204145297,0.5133538842201233,0.5805380940437317,"(0.40749928204145297, 7)","(0.4942987859249115, 2)","(0.5805380940437317, 7)"
8,0.42396108071375554,0.5143651366233826,0.5731277465820312,"(0.40749928204145297, 7)","(0.4942987859249115, 2)","(0.5731277465820312, 8)"
9,0.4242005567946192,0.5121046900749207,0.5775625109672546,"(0.40749928204145297, 7)","(0.4942987859249115, 2)","(0.5731277465820312, 8)"
10,0.41032642895175564,0.5287215113639832,0.583351194858551,"(0.40749928204145297, 7)","(0.4942987859249115, 2)","(0.5731277465820312, 8)"
