epoch,train,valid,test,best_train,best_valid,best_test
1,0.8110599078341014,0.7358490566037735,0.7441860465116279,"(0.8110599078341014, 1)","(0.7358490566037735, 1)","(0.7441860465116279, 1)"
2,0.8018433179723502,0.7735849056603774,0.7209302325581395,"(0.8110599078341014, 1)","(0.7735849056603774, 2)","(0.7441860465116279, 1)"
3,0.7880184331797235,0.7358490566037735,0.7286821705426356,"(0.8110599078341014, 1)","(0.7735849056603774, 2)","(0.7441860465116279, 1)"
4,0.8248847926267281,0.7735849056603774,0.7286821705426356,"(0.8248847926267281, 4)","(0.7735849056603774, 2)","(0.7441860465116279, 1)"
5,0.7926267281105991,0.7547169811320755,0.7131782945736435,"(0.8248847926267281, 4)","(0.7735849056603774, 2)","(0.7441860465116279, 1)"
6,0.8064516129032258,0.7735849056603774,0.7209302325581395,"(0.8248847926267281, 4)","(0.7735849056603774, 2)","(0.7441860465116279, 1)"
7,0.8064516129032258,0.7358490566037735,0.7209302325581395,"(0.8248847926267281, 4)","(0.7735849056603774, 2)","(0.7441860465116279, 1)"
8,0.8064516129032258,0.7169811320754716,0.7364341085271318,"(0.8248847926267281, 4)","(0.7735849056603774, 2)","(0.7441860465116279, 1)"
9,0.8018433179723502,0.7547169811320755,0.7364341085271318,"(0.8248847926267281, 4)","(0.7735849056603774, 2)","(0.7441860465116279, 1)"
10,0.815668202764977,0.7358490566037735,0.7286821705426356,"(0.8248847926267281, 4)","(0.7735849056603774, 2)","(0.7441860465116279, 1)"
