epoch,train,valid,test,best_train,best_valid,best_test
1,0.4251067214023133,0.5329437851905823,0.5835825800895691,"(0.4251067214023133, 1)","(0.5329437851905823, 1)","(0.5835825800895691, 1)"
2,0.43112740044220255,0.5009796619415283,0.5949293971061707,"(0.4251067214023133, 1)","(0.5009796619415283, 2)","(0.5835825800895691, 1)"
3,0.4307982759627466,0.5389400124549866,0.5802131295204163,"(0.4251067214023133, 1)","(0.5009796619415283, 2)","(0.5802131295204163, 3)"
4,0.41680076766398644,0.5100777745246887,0.5876920223236084,"(0.41680076766398644, 4)","(0.5009796619415283, 2)","(0.5802131295204163, 3)"
5,0.4379464633728502,0.5355597734451294,0.5944486856460571,"(0.41680076766398644, 4)","(0.5009796619415283, 2)","(0.5802131295204163, 3)"
6,0.425956565457555,0.5430933237075806,0.6022764444351196,"(0.41680076766398644, 4)","(0.5009796619415283, 2)","(0.5802131295204163, 3)"
7,0.4250619081857567,0.5365830659866333,0.5902312397956848,"(0.41680076766398644, 4)","(0.5009796619415283, 2)","(0.5802131295204163, 3)"
8,0.43210185810168217,0.5551791191101074,0.5822650790214539,"(0.41680076766398644, 4)","(0.5009796619415283, 2)","(0.5802131295204163, 3)"
9,0.4344926050731114,0.5255348682403564,0.5821046829223633,"(0.41680076766398644, 4)","(0.5009796619415283, 2)","(0.5802131295204163, 3)"
10,0.4168951834127101,0.519946813583374,0.6009069085121155,"(0.41680076766398644, 4)","(0.5009796619415283, 2)","(0.5802131295204163, 3)"
