epoch,train,valid,test,best_train,best_valid,best_test
1,0.1885994577668779,0.6743721961975098,0.8919805288314819,"(0.1885994577668779, 1)","(0.6743721961975098, 1)","(0.8919805288314819, 1)"
2,0.2063847177625475,0.9945608377456665,1.016593098640442,"(0.1885994577668779, 1)","(0.6743721961975098, 1)","(0.8919805288314819, 1)"
3,0.15392088395659262,0.7706575393676758,0.9943238496780396,"(0.15392088395659262, 3)","(0.6743721961975098, 1)","(0.8919805288314819, 1)"
4,0.16538522409678605,0.9095576405525208,1.0214077234268188,"(0.15392088395659262, 3)","(0.6743721961975098, 1)","(0.8919805288314819, 1)"
5,0.2513538293265802,0.49083325266838074,0.8509806394577026,"(0.15392088395659262, 3)","(0.49083325266838074, 5)","(0.8509806394577026, 5)"
6,0.15930915138070484,0.915623664855957,1.0302385091781616,"(0.15392088395659262, 3)","(0.49083325266838074, 5)","(0.8509806394577026, 5)"
7,0.12124953661484146,0.8058215379714966,0.8986504077911377,"(0.12124953661484146, 7)","(0.49083325266838074, 5)","(0.8509806394577026, 5)"
8,0.1771458107437606,0.45094189047813416,0.8328672051429749,"(0.12124953661484146, 7)","(0.45094189047813416, 8)","(0.8328672051429749, 8)"
9,0.19445036658974288,0.942023515701294,0.946017324924469,"(0.12124953661484146, 7)","(0.45094189047813416, 8)","(0.8328672051429749, 8)"
10,0.19059687639985765,0.8945306539535522,1.0708928108215332,"(0.12124953661484146, 7)","(0.45094189047813416, 8)","(0.8328672051429749, 8)"
11,0.17522864445425948,0.9395092129707336,1.1847906112670898,"(0.12124953661484146, 7)","(0.45094189047813416, 8)","(0.8328672051429749, 8)"
12,0.13478908749632024,0.8253962397575378,0.9030330777168274,"(0.12124953661484146, 7)","(0.45094189047813416, 8)","(0.8328672051429749, 8)"
13,0.1483431074613192,0.9112316966056824,1.1044082641601562,"(0.12124953661484146, 7)","(0.45094189047813416, 8)","(0.8328672051429749, 8)"
14,0.1086994821660667,0.7741020917892456,1.0260337591171265,"(0.1086994821660667, 14)","(0.45094189047813416, 8)","(0.8328672051429749, 8)"
15,0.15635567395367903,0.690162181854248,0.9338535666465759,"(0.1086994821660667, 14)","(0.45094189047813416, 8)","(0.8328672051429749, 8)"
16,0.16573095160283252,1.1693204641342163,1.3601452112197876,"(0.1086994821660667, 14)","(0.45094189047813416, 8)","(0.8328672051429749, 8)"
17,0.11534908923753945,0.688806414604187,0.9807411432266235,"(0.1086994821660667, 14)","(0.45094189047813416, 8)","(0.8328672051429749, 8)"
