epoch,train,valid,test,best_train,best_valid,best_test
1,0.4468925561797753,0.6048387096774194,0.5840561224489796,"(np.float64(0.4468925561797753), 1)","(np.float64(0.6048387096774194), 1)","(np.float64(0.5840561224489796), 1)"
2,0.44592696629213474,0.6004398826979472,0.6246173469387756,"(np.float64(0.4468925561797753), 1)","(np.float64(0.6048387096774194), 1)","(np.float64(0.6246173469387756), 2)"
3,0.40897120786516855,0.623900293255132,0.5974489795918367,"(np.float64(0.4468925561797753), 1)","(np.float64(0.623900293255132), 3)","(np.float64(0.6246173469387756), 2)"
4,0.5042573735955057,0.6312316715542522,0.5338010204081632,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6312316715542522), 4)","(np.float64(0.6246173469387756), 2)"
5,0.42959971910112354,0.5960410557184751,0.5673469387755102,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6312316715542522), 4)","(np.float64(0.6246173469387756), 2)"
6,0.4175737359550562,0.624633431085044,0.55625,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6312316715542522), 4)","(np.float64(0.6246173469387756), 2)"
7,0.4663799157303371,0.6268328445747801,0.5600765306122448,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6312316715542522), 4)","(np.float64(0.6246173469387756), 2)"
8,0.4126580056179775,0.6268328445747801,0.5656887755102041,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6312316715542522), 4)","(np.float64(0.6246173469387756), 2)"
9,0.4590941011235955,0.6143695014662757,0.599234693877551,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6312316715542522), 4)","(np.float64(0.6246173469387756), 2)"
10,0.3738588483146068,0.6231671554252199,0.5713010204081632,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6312316715542522), 4)","(np.float64(0.6246173469387756), 2)"
11,0.42292837078651685,0.6092375366568915,0.5681122448979592,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6312316715542522), 4)","(np.float64(0.6246173469387756), 2)"
12,0.38737710674157305,0.6055718475073314,0.5849489795918368,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6312316715542522), 4)","(np.float64(0.6246173469387756), 2)"
13,0.43038974719101125,0.6077712609970675,0.5808673469387755,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6312316715542522), 4)","(np.float64(0.6246173469387756), 2)"
14,0.42485955056179775,0.6158357771260997,0.5725765306122449,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6312316715542522), 4)","(np.float64(0.6246173469387756), 2)"
15,0.43802668539325834,0.6136363636363636,0.5850765306122448,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6312316715542522), 4)","(np.float64(0.6246173469387756), 2)"
16,0.441625702247191,0.6033724340175953,0.566326530612245,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6312316715542522), 4)","(np.float64(0.6246173469387756), 2)"
17,0.43460323033707865,0.6129032258064516,0.5709183673469388,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6312316715542522), 4)","(np.float64(0.6246173469387756), 2)"
18,0.41257022471910115,0.626099706744868,0.559438775510204,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6312316715542522), 4)","(np.float64(0.6246173469387756), 2)"
19,0.45536341292134835,0.5960410557184751,0.5686224489795918,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6312316715542522), 4)","(np.float64(0.6246173469387756), 2)"
20,0.3872015449438202,0.6202346041055719,0.5658163265306123,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6312316715542522), 4)","(np.float64(0.6246173469387756), 2)"
21,0.4295997191011236,0.6151026392961877,0.5771683673469388,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6312316715542522), 4)","(np.float64(0.6246173469387756), 2)"
22,0.44899929775280906,0.6282991202346041,0.5636479591836734,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6312316715542522), 4)","(np.float64(0.6246173469387756), 2)"
23,0.395189606741573,0.623900293255132,0.5659438775510205,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6312316715542522), 4)","(np.float64(0.6246173469387756), 2)"
24,0.4391678370786517,0.6121700879765396,0.5900510204081633,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6312316715542522), 4)","(np.float64(0.6246173469387756), 2)"
25,0.42301615168539325,0.6217008797653958,0.5591836734693877,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6312316715542522), 4)","(np.float64(0.6246173469387756), 2)"
26,0.4330670646067416,0.6180351906158358,0.5577806122448979,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6312316715542522), 4)","(np.float64(0.6246173469387756), 2)"
27,0.43003862359550565,0.6011730205278593,0.5718112244897959,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6312316715542522), 4)","(np.float64(0.6246173469387756), 2)"
28,0.4164325842696629,0.6473607038123168,0.5653061224489797,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6473607038123168), 28)","(np.float64(0.6246173469387756), 2)"
29,0.4392556179775281,0.6019061583577713,0.583545918367347,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6473607038123168), 28)","(np.float64(0.6246173469387756), 2)"
30,0.43486657303370785,0.6063049853372433,0.5614795918367347,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6473607038123168), 28)","(np.float64(0.6246173469387756), 2)"
31,0.4055477528089887,0.6085043988269795,0.5618622448979592,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6473607038123168), 28)","(np.float64(0.6246173469387756), 2)"
32,0.41125351123595505,0.6173020527859238,0.5538265306122448,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6473607038123168), 28)","(np.float64(0.6246173469387756), 2)"
33,0.41932935393258425,0.5623167155425219,0.5622448979591836,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6473607038123168), 28)","(np.float64(0.6246173469387756), 2)"
34,0.35998946629213485,0.6282991202346041,0.551530612244898,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6473607038123168), 28)","(np.float64(0.6246173469387756), 2)"
35,0.40001755617977525,0.6231671554252199,0.5474489795918367,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6473607038123168), 28)","(np.float64(0.6246173469387756), 2)"
36,0.4415379213483146,0.6202346041055719,0.5178571428571428,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6473607038123168), 28)","(np.float64(0.6246173469387756), 2)"
37,0.39137113764044945,0.6019061583577713,0.5586734693877552,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6473607038123168), 28)","(np.float64(0.6246173469387756), 2)"
38,0.4285024578651685,0.6077712609970675,0.5545918367346939,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6473607038123168), 28)","(np.float64(0.6246173469387756), 2)"
39,0.4388606039325842,0.624633431085044,0.5729591836734693,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6473607038123168), 28)","(np.float64(0.6246173469387756), 2)"
40,0.38987886235955055,0.6224340175953079,0.553826530612245,"(np.float64(0.5042573735955057), 4)","(np.float64(0.6473607038123168), 28)","(np.float64(0.6246173469387756), 2)"
