epoch,train,valid,test,best_train,best_valid,best_test
1,0.6872702751840863,0.6788123250007629,0.667985200881958,"(0.6872702751840863, 1)","(0.6788123250007629, 1)","(0.667985200881958, 1)"
2,0.680957358965676,0.6791080832481384,0.6648672819137573,"(0.680957358965676, 2)","(0.6788123250007629, 1)","(0.6648672819137573, 2)"
3,0.6797421363092238,0.6786866188049316,0.6660431623458862,"(0.6797421363092238, 3)","(0.6786866188049316, 3)","(0.6648672819137573, 2)"
4,0.6800778023383585,0.6795511841773987,0.6704856753349304,"(0.6797421363092238, 3)","(0.6786866188049316, 3)","(0.6648672819137573, 2)"
5,0.6803324575523078,0.6788535118103027,0.6681846976280212,"(0.6797421363092238, 3)","(0.6786866188049316, 3)","(0.6648672819137573, 2)"
6,0.6791864029273459,0.6787122488021851,0.6673826575279236,"(0.6791864029273459, 6)","(0.6786866188049316, 3)","(0.6648672819137573, 2)"
7,0.6790433381834338,0.6786900758743286,0.6671922206878662,"(0.6790433381834338, 7)","(0.6786866188049316, 3)","(0.6648672819137573, 2)"
8,0.6789893540918552,0.6788156628608704,0.6654501557350159,"(0.6789893540918552, 8)","(0.6786866188049316, 3)","(0.6648672819137573, 2)"
9,0.6796753743002492,0.6786568760871887,0.6666542291641235,"(0.6789893540918552, 8)","(0.6786568760871887, 9)","(0.6648672819137573, 2)"
10,0.6791871332902513,0.6786718368530273,0.666185736656189,"(0.6789893540918552, 8)","(0.6786568760871887, 9)","(0.6648672819137573, 2)"
11,0.6790444749291591,0.6786586046218872,0.6667233109474182,"(0.6789893540918552, 8)","(0.6786568760871887, 9)","(0.6648672819137573, 2)"
12,0.6780001471668894,0.6786738038063049,0.6661666631698608,"(0.6780001471668894, 12)","(0.6786568760871887, 9)","(0.6648672819137573, 2)"
13,0.6785861437771178,0.6787531971931458,0.6656702160835266,"(0.6780001471668894, 12)","(0.6786568760871887, 9)","(0.6648672819137573, 2)"
14,0.6782510266875341,0.6786700487136841,0.6669590473175049,"(0.6780001471668894, 12)","(0.6786568760871887, 9)","(0.6648672819137573, 2)"
15,0.6783915692210747,0.6788520812988281,0.6653484106063843,"(0.6780001471668894, 12)","(0.6786568760871887, 9)","(0.6648672819137573, 2)"
16,0.6779428747941821,0.6787618398666382,0.6656363010406494,"(0.6779428747941821, 16)","(0.6786568760871887, 9)","(0.6648672819137573, 2)"
17,0.6784904420650499,0.6786673069000244,0.6662401556968689,"(0.6779428747941821, 16)","(0.6786568760871887, 9)","(0.6648672819137573, 2)"
18,0.6787608683383959,0.6786668300628662,0.6662499308586121,"(0.6779428747941821, 16)","(0.6786568760871887, 9)","(0.6648672819137573, 2)"
19,0.6778321027206385,0.6787035465240479,0.6659220457077026,"(0.6778321027206385, 19)","(0.6786568760871887, 9)","(0.6648672819137573, 2)"
20,0.6778531014095254,0.6787254810333252,0.6657962203025818,"(0.6778321027206385, 19)","(0.6786568760871887, 9)","(0.6648672819137573, 2)"
21,0.6780110924474655,0.6787516474723816,0.6656761169433594,"(0.6778321027206385, 19)","(0.6786568760871887, 9)","(0.6648672819137573, 2)"
22,0.6780645306209265,0.6786635518074036,0.6662982702255249,"(0.6778321027206385, 19)","(0.6786568760871887, 9)","(0.6648672819137573, 2)"
23,0.6773513278104193,0.6787115335464478,0.6658725738525391,"(0.6773513278104193, 23)","(0.6786568760871887, 9)","(0.6648672819137573, 2)"
24,0.6776877682879224,0.6786890625953674,0.6660228967666626,"(0.6773513278104193, 23)","(0.6786568760871887, 9)","(0.6648672819137573, 2)"
25,0.6775507388576385,0.6787130236625671,0.6658630967140198,"(0.6773513278104193, 23)","(0.6786568760871887, 9)","(0.6648672819137573, 2)"
26,0.6775708627041583,0.6787011027336121,0.6659337282180786,"(0.6773513278104193, 23)","(0.6786568760871887, 9)","(0.6648672819137573, 2)"
27,0.6775101104639643,0.6787519454956055,0.6656748056411743,"(0.6773513278104193, 23)","(0.6786568760871887, 9)","(0.6648672819137573, 2)"
28,0.67773162604477,0.6787250638008118,0.6657965779304504,"(0.6773513278104193, 23)","(0.6786568760871887, 9)","(0.6648672819137573, 2)"
29,0.6773607002974655,0.6786905527114868,0.6660111546516418,"(0.6773513278104193, 23)","(0.6786568760871887, 9)","(0.6648672819137573, 2)"
30,0.6772510381887585,0.6787176132202148,0.6658375859260559,"(0.6772510381887585, 30)","(0.6786568760871887, 9)","(0.6648672819137573, 2)"
31,0.67716730272715,0.6787014603614807,0.6659337878227234,"(0.67716730272715, 31)","(0.6786568760871887, 9)","(0.6648672819137573, 2)"
32,0.6771564181499218,0.6786918044090271,0.6660007834434509,"(0.6771564181499218, 32)","(0.6786568760871887, 9)","(0.6648672819137573, 2)"
33,0.6770560450268232,0.6786983609199524,0.6659572720527649,"(0.6770560450268232, 33)","(0.6786568760871887, 9)","(0.6648672819137573, 2)"
34,0.6771228074478114,0.6786984801292419,0.6659537553787231,"(0.6770560450268232, 33)","(0.6786568760871887, 9)","(0.6648672819137573, 2)"
35,0.6771314918720228,0.6787028908729553,0.6659216284751892,"(0.6770560450268232, 33)","(0.6786568760871887, 9)","(0.6648672819137573, 2)"
36,0.6770847126635539,0.6786919832229614,0.6659975647926331,"(0.6770560450268232, 33)","(0.6786568760871887, 9)","(0.6648672819137573, 2)"
37,0.6769955111538759,0.6787007451057434,0.6659393906593323,"(0.6769955111538759, 37)","(0.6786568760871887, 9)","(0.6648672819137573, 2)"
38,0.6769771702278594,0.6786974668502808,0.6659607887268066,"(0.6769771702278594, 38)","(0.6786568760871887, 9)","(0.6648672819137573, 2)"
39,0.6769610256093987,0.6786962747573853,0.6659650802612305,"(0.6769610256093987, 39)","(0.6786568760871887, 9)","(0.6648672819137573, 2)"
40,0.6769481004657834,0.6786972880363464,0.6659602522850037,"(0.6769481004657834, 40)","(0.6786568760871887, 9)","(0.6648672819137573, 2)"
